Propanenitrile,,,
"z (Angstroms)","PE (kcal/mol)","F (kcal/mol-Angstrom)","Number of samples"
-0.57501,9.92679,4.61222,75231
-0.524879,9.67069,3.72164,113495
-0.473286,10.026,2.92083,29605
-0.39185,6.60261,5.60984,8557
-0.334837,6.16842,5.05398,69169
-0.284075,6.05292,3.79625,115149
-0.232318,5.81285,2.34235,34525
-0.152971,6.87489,4.32174,20449
-0.0975929,6.58712,4.00748,97375
-0.0466159,6.27983,4.05953,95016
0.0211391,7.05933,5.01477,50901
0.0796103,7.2374,4.05486,118834
0.130729,7.31089,2.9636,67743
0.204447,7.19041,5.48301,30963
0.260932,6.96389,4.40261,106163
0.312184,6.95517,2.57048,84495
0.376419,6.44727,1.7412,21115
0.444538,5.37969,3.47771,77423
0.495157,5.18232,3.30877,111631
0.552817,5.58972,3.70559,37321
0.624277,6.62893,4.04304,78207
0.674921,6.17515,2.63188,112610
0.727382,7.02855,1.72473,28068
0.80816,2.16289,5.50289,24250
0.861666,1.31137,3.30219,103868
0.912226,1.31778,1.37661,87015
0.978583,3.94482,1.23832,27368
1.04283,4.51299,2.1983,89226
1.09509,4.16199,2.22628,105452
1.1611,4.58857,2.15918,80131
1.21689,4.4642,1.93004,121297
1.26936,3.84773,1.60192,44411
1.34687,2.35278,2.77148,45122
1.39876,2.50049,1.65214,121257
1.45008,2.35932,0.431911,58460
1.52604,2.34785,1.99745,37801
1.57981,2.3486,1.27306,116667
1.63035,2.20879,0.159752,68931
1.69665,3.985,0.770889,12101
1.76585,4.53732,1.27904,61970
1.81689,4.44869,0.455191,119387
1.87016,4.82635,-0.591126,43426
1.94552,6.11135,0.650471,54323
1.99758,6.2612,0.0601086,117441
2.05335,5.87421,-0.134312,60123
2.12304,3.07097,-0.376676,89479
2.17475,3.14235,-0.374075,107611
2.23434,4.09254,-0.092,34203
2.30336,5.77482,0.0477385,78816
2.35551,5.63865,-0.954504,108546
2.40922,5.91204,-1.95891,31115
2.48741,3.34153,1.24203,48893
2.53808,3.01417,-1.21086,122167
2.58879,3.28997,-3.53229,52634
2.66691,4.67327,-0.0465067,27130
2.72126,4.24528,-1.15664,108626
2.77182,4.45361,-2.65933,83566
2.83644,5.33906,-3.44761,18050
2.90495,5.20494,-1.57637,71932
2.95588,5.14603,-2.21095,114926
3.01272,4.87204,-1.50162,41057
3.0842,2.24705,-0.571607,83889
3.13463,2.33111,-3.36214,112468
3.19788,3.57304,-4.01594,49254
3.26096,4.21258,-2.54033,104701
3.31235,4.46422,-3.06896,84337
3.37534,3.98032,-2.34199,18639
3.44517,3.56566,-2.06353,69144
3.49641,3.85125,-3.22091,116481
3.55627,4.56879,-3.77207,57263
3.6211,4.92403,-3.09956,104604
3.6727,5.10699,-3.56616,88075
3.73784,4.94864,-3.11266,25304
3.80357,4.00671,-2.80212,87146
3.85411,4.12432,-3.7546,106220
3.90597,4.60873,-4.82137,21324
